unit_id,plant_site,capacity_mw,commission_year,combustion,cooling_technology,province,latitude,longitude,source,year_basis
G100000108186,中电国际普安发电厂,660.0,2019,supercritical,recirculating,Guizhou,25.524752,104.974836,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000108187,中电国际普安发电厂,660.0,2018,supercritical,recirculating,Guizhou,25.524752,104.974836,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000108191,华电蒲城发电厂,360.0,1996,subcritical,recirculating,Shaanxi,34.9779314,109.7999759,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000108192,华电蒲城发电厂,360.0,1997,subcritical,recirculating,Shaanxi,34.9779314,109.7999759,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000108193,华电蒲城发电厂,330.0,2003,subcritical,recirculating,Shaanxi,34.9779314,109.7999759,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000108194,华电蒲城发电厂,330.0,2004,subcritical,recirculating,Shaanxi,34.9779314,109.7999759,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000108195,华电蒲城发电厂,600.0,2008,supercritical,Air,Shaanxi,34.9779314,109.7999759,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000108196,华电蒲城发电厂,600.0,2008,supercritical,Air,Shaanxi,34.9779314,109.7999759,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000108222,普兰店热电厂,350.0,2025,supercritical,recirculating,Liaoning,39.359966,121.889484,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000108223,普兰店热电厂,350.0,2025,supercritical,recirculating,Liaoning,39.359966,121.889484,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000108243,华润电力湖北公司蒲圻发电厂,330.0,2004,subcritical,once-through,Hubei,29.66523,113.87296,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000108244,华润电力湖北公司蒲圻发电厂,330.0,2004,subcritical,once-through,Hubei,29.66523,113.87296,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000108245,华润电力湖北公司蒲圻发电厂,1000.0,2012,ultra-supercritical,once-through,Hubei,29.66523,113.87296,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000108246,华润电力湖北公司蒲圻发电厂,1000.0,2013,ultra-supercritical,once-through,Hubei,29.66523,113.87296,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000115347,华润电力湖北公司蒲圻发电厂,1000.0,2026,ultra-supercritical,once-through,Hubei,29.66523,113.87296,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000115348,华润电力湖北公司蒲圻发电厂,1000.0,2026,ultra-supercritical,once-through,Hubei,29.66523,113.87296,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000108255,国电濮阳热电厂,210.0,2006,subcritical,recirculating,Henan,35.7527407,114.983784,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000108256,国电濮阳热电厂,210.0,2006,subcritical,recirculating,Henan,35.7527407,114.983784,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000115040,国电濮阳热电厂,50.0,2022,subcritical,recirculating,Henan,35.7527407,114.983784,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000108253,河南投资集团濮阳龙丰电厂,600.0,2018,ultra-supercritical,recirculating,Henan,35.7692278,115.2546119,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000108254,河南投资集团濮阳龙丰电厂,600.0,2018,ultra-supercritical,recirculating,Henan,35.7692278,115.2546119,GEM_with_Cooling_Technology_July2025.xlsx,2025
